sample,fastq_1,fastq_2,experiment_accession,run_alias
1066_Squamous,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859295_SRR26146678_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859295_SRR26146678_2.fastq.gz,SRX21859295,WT21_1066_TM_S4_L008_R1_001.fastq.gz
1938_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859296_SRR26146677_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859296_SRR26146677_2.fastq.gz,SRX21859296,TA41_1938_TM_S2_L001_R1_001.fastq.gz
1938_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859297_SRR26146676_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859297_SRR26146676_2.fastq.gz,SRX21859297,TA41_1938_TM_S2_L002_R1_001.fastq.gz
1938_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859299_SRR26146674_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859299_SRR26146674_2.fastq.gz,SRX21859299,TA41_1938_TM_S2_L003_R1_001.fastq.gz
1356_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859300_SRR26146673_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859300_SRR26146673_2.fastq.gz,SRX21859300,WT13_1356_TM_S2_L001_R1_001.fastq.gz
1356_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859301_SRR26146672_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859301_SRR26146672_2.fastq.gz,SRX21859301,WT13_1356_TM_S2_L005_R1_001.fastq.gz
1356_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859302_SRR26146671_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859302_SRR26146671_2.fastq.gz,SRX21859302,WT13_1356_TM_S5_L004_R1_001.fastq.gz
1356_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859258_SRR26146715_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859258_SRR26146715_2.fastq.gz,SRX21859258,WT13_1356_TM_S5_L005_R1_001.fastq.gz
222_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859260_SRR26146713_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859260_SRR26146713_2.fastq.gz,SRX21859260,WT21_222_TM_S6_L002_R1_001.fastq.gz
222_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859261_SRR26146712_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859261_SRR26146712_2.fastq.gz,SRX21859261,WT21_222_TM_S6_L003_R1_001.fastq.gz
222_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859262_SRR26146711_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859262_SRR26146711_2.fastq.gz,SRX21859262,WT21_222_TM_S6_L006_R1_001.fastq.gz
222_EMT,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859263_SRR26146710_1.fastq.gz,/mnt/gs21/scratch/vusichjo/circdna_myc/fetchngs_results/fastq/SRX21859263_SRR26146710_2.fastq.gz,SRX21859263,WT21_222_TM_S6_L008_R1_001.fastq.gz
